,article,sentiment,Week_number
44,실적을 분석한 결과 F1 후보돈,0,2
45,매두수는 16만5천817두로 전년,0,2
46,증가했다,1,2
47,늘었다,1,2
48,모돈에 대한 투자를 활발히 진행한 영향으로 풀이된다,0,2
49,특히 합성돈 판매량도 꾸준히 늘어나고 ,1,2
50,돈육 수입 6년만에 최고,1,2
51,P ↓,-1,2
52,지난해 돼지고기 수입량이 크게 늘면서 ,1,2
53,구제역 직후인 11년(37만1천톤)을 제외하고 ,0,2
54,감소했다,-1,2
55,이로써 지난해 돼지고기 수입량은 36만9천톤으로 16년 31만8천톤보다 15.9,0,2
56,늘었다,0,2
57,많은 양으로 11년도가 구제역,0,2
58,점을 감안하면 사실상 지난해 수입량이 사상 최고치인 셈이다,1,2
59,가격이 강세를 기록한 영향이 크다,1,2
60,한돈을 대체할 가공용 부위 수입이 증가한 것이다,0,2
61,자급률은 하락했다,-1,2
62,한돈 생산량은 약 90만톤을 기록했다,0,2
63,낮아,0,2
64,부위별로는 삼겹살이 17만2천톤으로 일년전 15만톤 대비 15.7,0,2
65,늘었다,0,2
66,가량 적은 3만6천톤이 들어왔다,0,2
67,연속 거래량 제로를 기록한 것으로 나타났다,0,2
68,돈육 선물거래도 이뤄지지 않았다,-1,2
69,연속 거래가 없었다,0,2
70,효과가 없었던 셈이다,-1,2
71,모르는 게 거래 부진의 가장 큰 이유로 지목된다고 ,-1,2
72,소폭 줄었다,0,2
73,탓 분석지난해 돼지 값이 호조를 보였지만 ,-1,2
74,다,0,2
75,두에 비해 낮았다,0,2
76,돼지 도축두수는 1.1,0,2
77,생산성은 뒷걸음질 친 것이다,-1,2
78,증가하고 있는 가운데 자돈 질병 피해가 여전히 큰 때문으로 풀이되고 ,-1,2
79,제주 제외한 탕박으로농가 체감 가격 낮게 보여최근 한돈 가격 정산 방법 변화에 따라 전국 한돈 가격 기준도 ,0,2
80,탕박 가격이 전국 돼지가격의 기준점이 되고 ,0,2
81,전국 평균 탕박 가격은 제주 지역을 포함한 가격과 포함하지 않은 가격만이 고시,0,2
82,정산기준을 탕박으로 변경 시 제주를 제외한 전국 탕박 평균가격으로 정산한다’라는 협약내용에 따른 것이다,0,2
83,돼지 값은 예년보다 낮아 보이는 착시 현상을 겪을 수도 있을 것으로 예측된다,-1,2
84,작년 제주를 제외한 연평균 돼지 값은 4천640원을 형성한 것으로 나타났다,0,2
85,저무는,0,2
86,돼지 값은 약세가 불가피할 것으로 전망됐다,-1,2
87,돼지 값 하락을 점쳤다,-1,2
88,자연히 출하물량 역시 1천700만마리는 무난히 넘길 것이란 전망이다,0,2
89,연속 돼지 출하 최고치 기록을 갈아 치우게 되는 셈이다,0,2
90,이처럼 출하가 증가하는 가운데 소비 측면에서는 특별한 호재가 보이지 않는다,-1,2
91,대체 수요 요인이 빠져나가는 시장 상황을 돼지 값 하락의 한 축으로 지적했다,-1,2
92,특히 박피가 중단되고 탕박으로의 전환은 돼지 값 부담 요인으로 지목되기도 했다,-1,2
93,소비 시장의 한 변화로 내다봤다,0,2
94,육박했던 지난해와 견줘 약세를 형성할 것이란 데 이견이 없었다,-1,2
95,더욱이 이들은 수입육의 공세도 주목했다,0,2
96,특히 지금까지는 저렴한 가격이 주요 경쟁력이었다면 최,1,2
97,돼지고기 등 수입육이 고급화하고 있는 점을 위협 요소로 꼽았다,-1,2
98,소비자들의 인식이 변화하고 있다는 점도 우려하며 한돈의 차별화를 시급한 과제로 지목했다,-1,2
99,목소리로 걱정했다,-1,2
100,농가들의 노력을 주문했다,-1,2
101,제주도에 타 지방 돼지고기의 반입이 허용되면서 제주도 양돈농가 채산성이 악화될 수 있다는 보고서가 나왔다,-1,2
102,제주도 양돈산업이 침체될 수 있다고 ,-1,2
103,증가했다,1,2
104,상대적으로 저렴한 타 지역 돼지고기가 유입되면서 도내 가격과 전국 가격 간 격차가 줄어들 것이란 전망이다,1,2
105,원서 335원으로 줄었다고 지적했다,-1,2
106,한국은행은 현재까지 제주로 반입된 다른 지역 한돈물량이 도내 도축물량의 1,0,2
107,향후 반입 물량이 확대될 경우 지역 양돈농가 채산성 악화 가능성이 있다고 ,-1,2
108,타 지역 한돈을 제주산으로 속여 판매함으로써 제주 돼지고기 브랜드 가치를 저하시키거나 전염병이 유입될 우려도 있다고 ,-1,2
109,ASF 발병 시 돼지 일시 이동중지농축산부 방역 강화 위해일시 이동중지 명령 대상 전염병에 아프리카돼지열병,-1,2
110,시행 규칙 일부 개정안을 마련해 관련업계 의견조회에 들어갔다,0,2
111,치사율이 높은 아프리카돼지열병도 일시 이동중지 명령 대상 전염병으로 추가했다,-1,2
112,몽골에 인접한 러시아에 발생하는 등 국내 유입 위험성도 높아지고 ,-1,2
113,2번쨰 기사입니다,0,3
114,연속 줄었다,1,3
115,) 줄여 책정했다,0,3
116,최근 사료가격이 안정세를 보이면서 ,0,3
117,법인은 신청 가능하며 기존에 사료구매 정책자금 대출자도 추가로 지원이 가능하다,1,3
118,발생 농가는 사업 대상에서 제외된다,0,3
119,국제 곡물시장 안정세 위협,-1,3
120,유지하던 안정세를 위협받고 ,-1,3
121,국내 양돈농가 경영도 어려워질 수 있어 ,-1,3
122,가능성이 높게 점쳐지고 ,0,3
123,달한다고 ,0,3
124,실제 라니냐의 징후들이 나타나고 ,0,3
125,이상 한파가 바로 그것이다,-1,3
126,아르헨티나 등 주요 곡물 생산지대에 가뭄이 올 수 있다는 점이다,-1,3
127,콩 등 곡물 가격 상승이 불가피해진다,-1,3
128,폭등할 수 있다고 ,-1,3
129,향상되지 않고 ,-1,3
130,가량 감소한 가운데 1등급 이상이 64.4,-1,3
131,기록했다,0,3
132,P 상승한 수치다,0,3
133,1등급 이상 출현율이 63.8,0,3
134,P 올랐다,0,3
135,수준에도 못 미친 것이다,-1,3
136,개선이 이뤄지지 않은 상황으로 풀이되고 ,-1,3
137,노력을 기울여야 한다고 ,-1,3
138,연중 생산성 11월이 가장 좋다,1,3
139,평균보다 높아폭염 후유증 벗어나 ,1,3
140,연중 가장 높은 생산성을 기록한 것으로 나타났다,1,3
141,경우 두당 섭취량 증가와 출하일령 감소로 19.1두를 기록,0,3
142,일로 가장 빨랐다,0,3
143,이는 모돈이 하절기 폭염 후유증에서 벗,1,3
144,일교차도 줄어 ,0,3
145,만두로 사상최고를 기록하기도 했다,1,3
146,새해 들어 미국산 냉장 돼지고기 등 수입 돈육 관세가 추가로 하향 조정된다,0,3
147,자리수로 떨어졌다,0,3
148,떨어지게 된다,0,3
149,낮아진다,0,3
150,냉장 삼겹살은 멕시코 다음으로 캐나다산 비중이 크다,0,3
151,관세가 올해 없어진다,0,3
152,조정된다,0,3
153,증가로새해 돼지 값이 약세서 ,-1,3
154,각각 하락했다,0,3
155,떨어졌다,0,3
156,전체 출하물량이 많은 것이 한 원인이,-1,3
157,이 기간 일평균 돼지 출하물량은 7만7천여마리로 일년전 6만7천두에 비해 14,0,3
158,경매두수가 크게 늘어 돼지 값 하락을 부추긴 것으로 파악된다,-1,3
159,돼지 값 약세의 한 원인이 되고 ,-1,3
160,소비 늘었다,1,3
161,수입 증가에도 재고는 줄어,0,3
162,지난해 돼지고기 수입량은 늘었지만 ,-1,3
163,감소했다,-1,3
164,11월 돼지고기 수입량이 10월 대비 50,0,3
165,가량 줄었다,0,3
166,지난해 돼지고기 수입량이 전년 대비 증가하면서 재고도 전년비 높은 수준을 유지해오다 5개월만에 감소세로 돌아선 것이다,-1,3
167,돈육 수입량을 보면 34만여톤으로 일년전보다 20,0,3
168,수입 돈육의 소비가 많았다는 얘기가 된다,0,3
169,적고 ,0,3
170,무한리필 삼겹살점들이 인기를 끌었던 16년에 비해서는 수요처가 많이 줄었던 영향이 크다,0,3
171,각,0,3
172,감소했다,0,3
173,가격이 오르면서 ,0,3
174,평창 동계 올림픽 수요로 안정을 찾을 것으로 예측됐다,1,3
175,동향분석회의를 개최했다,0,3
176,급식 물량도 부진하는 등 수요 호재가 없어 돼지 값이 낮게 형성되고 ,-1,3
177,가격은 다시 오를 것으로 전망,0,3
178,가격도 급등락 없이 안정적으로 유지되고 있다고 만족해했다,1,3
179,3번쨰 기사입니다,0,4
180,올해 한돈 자조금 사업 예산이 343억4천만원으로 확정됐다,0,4
181,이 같이 사업 예산을 승인했다,0,4
182,조성 금액은 △농가거출금=177억6천만원 △정부지원금=54억3천만원 △이익 잉여금,0,4
183,이에 따,0,4
184,)=8억5천만원 △수급안정,0,4
185,돼지 이상육 발생을 증가시키는 법안을 고시하는 등 엇박자 행보를 보이고 ,-1,4
186,안전한 한돈 생산을 요구받고 ,-1,4
187,박피 도축 과정에서의 안전성 문제를 제기했다,-1,4
188,산업에도 치명타가 될 수 있다는 것,-1,4
189,이에 업계는 박피 도축 전면 중단에 합의하며 불행의 싹을 미리 자르는 결단을 보였다,-1,4
190,있는 등 나날이 안전한 한돈 생산을 위한 경각심이 높아지고 ,1,4
191,그러나 최근 정부는 자돈 구제역 2회 접종을 골자로 한 구제역 예방접종,0,4
192,접종으로 변경된다,0,4
193,문제는 2회 접종 의무화시 이상육 발생도 크게 증가,-1,4
194,른 뇌관이 될 수 있다,0,4
195,크게 반발했다,-1,4
196,이상육 절감 대책이 마련된 이후에야 조정돼야 한다고 ,0,4
197,운영이 필요하다고 ,0,4
198,오는 법안을 개정하고 있어 농가들의 불만의 목소리가 점점 높아지고 ,-1,4
199,앞으로 돼지 증가할 일만 남았다,-1,4
200,전년 동기와의 차이는 더 벌렸다,0,4
201,감소했다,0,4
202,반면 전년동기 1천37만마리에 견줘서는 1.4,0,4
203,그 차이가 더 커진 셈이다,0,4
204,전 97만4천마리에 비해 2.6,0,4
205,더 큰 폭의 증가세를 보였다,0,4
206,향후 돼지 사육두수가 더 증가할 여지가 충분한 상황,0,4
207,증가해 향후 출하물량 증가도 예상되고 ,0,4
208,감소했으며 1천,-1,4
209,반면 5천두 이상 농가 사육두수는 426만마리로 전년 대비 5.5,0,4
210,이상은 늘었다,0,4
211,이로써 양돈농가당 돼지 사육두수는 2천386마리로 전년비 5.3,0,4
212,예상돼올해 한돈 생산량만 100만톤을 돌파할 것으로 보인다,0,4
213,축산물품질평가원에 따르면 지난해 한돈 생산량은 99만8천톤으로 전년,1,4
214,전망돼 한돈공급량은 102만톤으로 추산되고 ,0,4
215,이로써 한돈공급량 100만톤 시대가 예상되고 ,0,4
216,사상 최고의 공급량을 기록한 것으로 분석됐다,1,4
217,↓,0,4
218,양돈사료량이 사상 최고치를 기록했다,1,4
219,최근 농림축산식품,0,4
220,가량 늘었다,0,4
221,전 구간이 많았던 것이다,0,4
222,많았다,0,4
223,연속 연간 양돈사료량 사상 최고치를 경신하게 됐다,1,4
224,지난해 돼지 사육두수와 출하물량이 사상 최고치를 기록했던 만큼 양돈사료량에도 양돈산업의 양적 성장이 반영된 결과다,1,4
225,가량 감소한 325만여톤을 기록했다,-1,4
226,가장 두드러진 증가세를 보인 것은 번식돈용 사료였다,0,4
227,전에 견줘 6,0,4
228,퇴행적 현상 용납 못해,-1,4
229,탕박 지급률제로 돼지 정산을 하는 것으로 나타났다,-1,4
230,협회는 최근 전국 육가공업체를 대상으로 돼지 정산 방법에 대한 조사를 실시했다,0,4
231,(16개소)에 불과한 것으로 나타났으며,0,4
232,이에 협회는 지난 17일 6번째 성명서를 발표하고,0,4
233,불과한 상황에서 농가가 도축시 내는 등급판정수수료가 무슨 의미가 있는지 되묻고 ,-1,4
234,촉구했다,-1,4
235,4번쨰 기사입니다,0,5
236,[양돈전망,0,5
237,한돈 올해 내년 하락하다,-1,5
238,20년부터 올라농경연 2018 양돈전망,0,5
239,올해와 내년까지 돼지고기 공급량 증가로 돼지 값 하락이 점쳐지고 ,-1,5
240,수입량 역시 크게 줄지 않을 것이란 분석이다,0,5
241,올해를 비롯해 중장기 양돈수급 전망을 발표했다,0,5
242,이 내용을 정리,0,5
243,19년 4천281원까지 떨어져,0,5
244,질병 준 영향,0,5
245,각각 늘어,-1,5
246,돼지고기 가격이 높게 형성되면서 지속 증가해 지난해 9월 1천79만 마리로 역대 최대 사육두수를 갱신했다,1,5
247,이에 따라 지난해 돼지 도축두수는 16년보다 1.1,0,5
248,증가했다,1,5
249,이처럼 한돈 생산량 증가에도 불구하고 수요 증가와 관세 인하로 지난해 돼지고기 수입량은 16년 31만9천톤보다 16,0,5
250,늘었다,0,5
251,양돈 선진국에 비해 상당히 낮은 수준이다,-1,5
252,또한 이유 후 육성률도 양돈 선진국의 경우 90,0,5
253,사양관리 기술이 부족하기 때문이다,-1,5
254,이유 후 폐사가 많고 ,-1,5
255,다행히 국내 양돈 생산성은 향상되고 ,1,5
256,MSY는 13.5마리에서 16.9마리로 증가했다,0,5
257,향상된 것으로 판단된다,1,5
258,이상 감소하는 등 질병 발생이 과거보다 줄었기 때문이다,-1,5
259,사료 요구율이 향상된 것으로 나타났다,1,5
260,■ 소비,0,5
261,가장 높았다,0,5
262,조사되었다,0,5
263,선호하는 부위는 삼겹살이었으며 다음으로 목살,0,5
264,순으로 나타났다,0,5
265,올해 한돈 소비를 늘리겠다는 응답이 줄이겠다는 응답보다 높게 조사되었고 수입 돼지고기는 소비를 줄이겠다는 응답 비중이 더 높았다,0,5
266,돼지 도매가격 상승은 공급보다 수요 증가 측면이 견인한 것으로 분석되고 ,0,5
267,국내 생산량과 수입량이 증가해 가격 하락 요인으로 작용했으나 수요가 10,0,5
268,대비 7.5% 올랐다,0,5
269,↑ 으로 모두 올랐다,0,5
270,↑) 모두 상승했다,0,5
271,전망되어 국내 도매원가도 19년까지 하락할 것으로 전망된다,-1,5
272,EU산 돼지고기는 관세가 점진적,0,5
273,이후 상승세를 유지할 것으로 전망된다,0,5
274,아시아 지역으로 대신 수출하려 할 수 있어 ,0,5
275,전망되어 수입량 감소가 예상되나 주요 수입국의 상황과 국내 돼지가격이 평년 수준 유지한다는 점을 가정하면 수입량이 크게 감소하지는 않을 것으로 전망된다,0,5
276,장기 수급 전망돼지 가격이 상승하면서 양돈 농가의 모돈 사육 의향이 상승,0,5
277,전망된다,0,5
278,모돈수 증가로 올해 전체 사육 두수는 1천70∼1천90만 마리로 전망된다,0,5
279,돼지고기 생산량은 93만톤으로 전망된다,0,5
280,가격 하락으로 지난해보다 감소한 34만3천 톤으로 전망된다,-1,5
281,전년 동월보다 낮을 것으로 전망된다,0,5
282,2월보다 상승한 4천400,0,5
283,4월보다 상승한 평균 5천,0,5
284,이상에서 형성될 것으로 전망된다,0,5
285,18년 연평균 돼지 도매가격은 4천481원,0,5
286,가격 하락으로 21년까지 감소할 것으로 예상된다,0,5
287,22년부터 다시 증가세로 전환돼 27년 연평균 사육 마릿수는 1천150만 마리 내외가 될 것으로 보인다,0,5
288,생산성이 향상되어 모돈수는 점차 감소할 것으로 전망된다,-1,5
289,증가 후 2020∼21년까지 감소할 것으로 전망된다,-1,5
290,이후 돼지고기 생산량은 증가세로 전환되어 ,0,5
291,표 참조>수입량은 FTA 타결에 따른 관세 인하 및 철폐와 육류 소비 증가 등으로 지속적으로 증가해 27년 37만9천 톤 내외가 될 것으로 전망된다,0,5
292,돼지고기 생산량이 증가하면서 내년 돼지 도매가격은 4천281원까지 하락할 것으로 전망된다,-1,5
293,도축 마릿수 감소로 지육가격이 상승세로 전환되고 ,0,5
294,고돈가가 지속되면서 국내 돼지 사육두수가 크게 증가한 가운데 지역별로는 충남과 전남이 가장 많이 늘었다,0,5
295,늘었다,0,5
296,마리서 지난해까지 4년 연속 증가했다,0,5
297,이는 무엇보다,0,5
298,이 기간 지속돼온 고돈가의 영향이다,0,5
299,가량 증가한 셈이다,0,5
300,지역별로 보면 차이가 크게 나타나고 ,0,5
301,그쳤다,0,5
302,늘었다,0,5
303,늘었다,0,5
304,전년비 2.3,0,5
305,두수가 증가했으나 지역별로 차이는 컸다,0,5
306,17년 1인당 돈육 소비 24.5kg전년보다 0.4kg,0,5
307,돼지고기 소비량이 지난해 또 사상 최고치를 기록했다,1,5
308,최근 농촌경제연구원은 지난해 1인당 돼지고기 소비량이 24.5,0,5
309,증가하며 최고치 경신을 이어가고 ,1,5
310,농경연은 이 같은 소비 호조가 올해도 이어지면서 24.6,1,5
311,구제역 방역 활동 고삐 죈다,-1,5
312,5월까지,0,5
313,특별방역기간이 종료되는 5월까지 한층 방역을 강화할 계획이라고 밝혔다,0,5
314,농협 공동방제단을 이달부터 당초 450개에서 540개로 늘려 확대 운영한다,0,5
315,듯올해부터 내년까지 돼지 가격이 하락할 것으로 전망됐다,-1,5
316,도축 마릿수 감소로 다시 상승세로 전환될 것으로 예측됐다,0,5
317,중장기 돼지 값에 대해 전망했다,0,5
318,전체 사육마릿수도 늘어 1천70만,0,5
319,감소한 34만3천톤이 들어올 것으로 전망됐다,0,5
320,하락할 것으로 예측했다,0,5
321,이 가격은 생산비(3천700~3천800원 추산) 수준을 웃돈 수준이다,0,5
322,상반기 돈가를 살펴보면 2월은 4,0,5
323,형성하다,0,5
324,학교 급식 재개와 나들이 수요가 증가하는 3,0,5
325,이상의 가격이 형성될 것으로 예측됐다,0,5
326,올해보다 더 하락해 연평균 4천281원이 형성될 것으로 내다봤다,-1,5
327,사육두수 감소세가 이어지면서 ,0,5
328,이상 시대가 고착화될 것으로 전망됐다,-1,5
329,수출 길 열려가공품 검역,0,5
330,위생 협의를 완료했다고 ,0,5
331,가공한 축산물이다,0,5
332,양념 혹은 이를 혼합한 방식으로 가공 처리한 제품이다,0,5
333,축산물 위생 관리 자료와 수출 희망 업체 정보를 제공하는 등 긴밀한 협의를 진행해 왔다는 설명이다,0,5
334,한돈 생산량 증가로 돼지 값 하락이 우려되는 가운데 이번 필리핀 수출이 동남아,-1,5
335,한돈의 시장을 확대시키는 역할을 할 수 있을지 기대되고 ,1,5
336,고수올해는 한돈 떨어져 7조원 ‘위태,-1,5
337,자리에 오른 것으로 분석됐다,1,5
338,대를 돌파한 것으로 나타났다,0,5
339,감소한 6조8천740억원으로 전망됐다,-1,5
340,자리는 고수할 것으로 예측됐다,0,5
341,자리로 내려앉은 쌀 생산액이 지속적으로 하락할 것으로 예상돼서다,-1,5
342,생산량 감축으로 6천7천억원대로 감소할 것으로 분석됐기 때문이다,-1,5
343,몸살을 앓고 ,-1,5
344,발생하고 있다는 전언이다,0,5
345,지난해 12월을 기점으로 다시,0,5
346,행하고 ,0,5
347,농가들이 사양관리에 어려움을 겪고 ,-1,5
348,지난해 후보돈 판매 두수가 크게 증가하면서 농장 내 면역력이 낮은 초산 비율도 높아진 것이다,1,5
349,출하할 돼지가 예상보다 줄어 ,-1,5
350,가량 향상시킨다는 목표를 세웠다,1,5
351,25년까지 MSY 23.8두를 달성키로 했다,1,5
352,생산성을 높일 수 있을 것으로 기대하고 ,1,5
353,운용함으로써 데이터 공유기반을 마련하고 빅데이터 활용을 점차 확대키로 했다,0,5
354,5번쨰 기사입니다,0,6
355,전년비 17,1,6
356,특히 지난해,0,6
357,차이는 3천여두에 불과한 수준이다,0,6
358,물론 역대 1월 출하물량으로는 최고치였다,1,6
359,돼지 값이 급락하면서 ,-1,6
360,각각 하락했다,-1,6
361,이후 가장 낮은 수준이다,-1,6
362,이처럼 돼지 값이 하락한 것은 무엇보다 출하가 많았던 데다 박피 도축 중단으로 탕박 도매시장 물량이 크게 늘어난 것이 첫 번째다,-1,6
363,수요도 신통치 못했던 것으로 풀이된다,-1,6
364,많은 돼지가 사육되는 것으로 조사됐다,0,6
365,닭 축사지도’를 발표했다,0,6
366,이 자료는 각 축종별 사육두수,0,6
367,환경 데이터와의 연계를 통해 입체적인 축산 및 환경 연구 기초자료로 활용할 예정이다,0,6
368,돼지를 키우며 돼지가 가장 많은 시군은 홍성군,0,6
369,냄새 분뇨에다 품질까지 먹칠 하나,-1,6
370,지난 1일부터 비육돈 구제역 2,0,6
371,이후 한돈에서 이상육 발생이 크게 증가할 것으로 우려되고 ,-1,6
372,구제역 백신 접종 횟수는 해당 백신의 품목 허가된 접종방법에 따를 것을 법으로 명시했다,0,6
373,접종해야 된다,0,6
374,신뢰 하락이 우려되고 ,-1,6
375,가령 한 양돈조합의 이상육 발생 현황 조사에 따르면 2015년 1,0,6
376,이는 전년 12월 구제역 발생으로 발생 지역 및 인근지역 구제역 백신 일관 접종 실시에 따라 이상육 발생 비율도 이 기간 동안 2배 이상으로 증가한 것이다,0,6
377,전문가들은 우려하고 ,-1,6
378,감소연초부터 수입 돼지고기가 국내 시장에 대량으로 쏟아져 들어왔다,0,6
379,최근 식품의약품안전처에 따르면 1월 돼지고기 수입검사 물량은 4,0,6
380,각각 늘었다,0,6
381,수입량이 4만톤대를 기록한 것은 지난 15년 3월,0,6
382,수입이 급증한 것은 수입육에 대한 수요가 주요 원인으로 분석된다,0,6
383,가량 줄었다,-1,6
384,감소했다,-1,6
385,가격이 안정적으로 형성되고 ,1,6
386,부위별 수입량을 보면 앞다리가 1만7천톤으로 삼겹살,0,6
387,넘는 물량이 들어왔다,0,6
388,감소했다,0,6
389,축산관련단체협의회가 미허가 축사 폐쇄를 담은 가축분뇨법이 국민의 기본권을 침해하는 법률이라며 헌법 소원을 제출했다,-1,6
390,헌법재판소를 방문해 ‘가축분뇨법 위헌 소송,-1,6
391,않는 규제로 적법화 진행이 불가해 이는 명백히 국민의 기본권을 침해하는 위헌 법률이라고 주장했다,-1,6
392,발생 줄다 다시 늘어,-1,6
393,다,0,6
394,폭발적으로 발생 후 감소하는 추세이긴 하나 15년 105건,0,6
395,근절이 쉽지 않은 상황으로 파악되고 ,-1,6
396,공식통계를 크게 웃돌 것이란 게 검역본부의 설명이다,0,6
397,6번쨰 기사입니다,0,7
398,7번쨰 기사입니다,0,8
399,근접하는 수준까지 끌어올린다는 목표가 설정됐다,0,8
400,식품산업 발전계획을 통해 돼지고기의 자급률을 78.6,0,8
401,국내 돼지고기 자급률은 수입량 증가로 지난 13년,0,8
402,이에 돼지고기 자급률을 현재보다 7,0,8
403,비해 하향 조정된 수치다,-1,8
404,소폭 낮아졌다,0,8
405,소비 증가 등을 반영했다는 설명이다,0,8
406,P 낮춰 잡았다,0,8
407,정책적 지원을 해야 한다고 ,0,8
408,향상시킨다는 목표도 제시했다,1,8
409,값 강세에 취했나,-1,8
410,적자 경영 속출 우려,-1,8
411,한돈 강세에도 한국 양돈장 생산 성적은 오히려 퇴보했다,-1,8
412,향후 돈가 하락 시 농가들의 경영 압박이 우려되고 ,-1,8
413,이상을 기록하며 호황을 이어갔다,1,8
414,양돈장 성적은 오히려 퇴보한 것으로 나타났다,-1,8
415,△모돈 회전율=2.18회 △복당총산=10.88두 △복당이유,0,8
416,두에서 오히려 0.2두 하락한 것으로 나타났다,-1,8
417,개선되지 못하고 ,-1,8
418,각종 호흡기 질병 다발로 폐사가 많은 때문으로 풀이된다,-1,8
419,비교적 높은 돈가에도 불구 수익성도 그리 높지 않은 것으로 분석되고 ,-1,8
420,적자 경영 전환도 우려되고 ,-1,8
421,해결해야 할 것으로 지적되고 ,-1,8
422,돼지 등급판정 성적이 전달보다 떨어졌다,-1,8
423,출하물량으로는 최고를 기록했다,1,8
424,등급판정 성적은 신통치 못했다,-1,8
425,차지하면서,0,8
426,등급 이상 출현율은 63.8,0,8
427,하락하면서 등급판정 성적이 뒷걸음질 쳤다,-1,8
428,중요해지고 있다고 지적하고 ,-1,8
429,노력을 경주해야 한다고 강조하고 ,0,8
430,8번쨰 기사입니다,0,9
431,↑전문,0,9
432,과반 차지국내 종돈 생산 기반이 확대되고 ,0,9
433,증가한 것으로 조사됐다,0,9
434,종돈 수입을 크게 늘리고 12곳의 신규 종돈장이 들어섰기 때문으로 풀이된다,0,9
435,세부적으로 살펴보면 국내 종돈장이 사육하고 ,0,9
436,눈여겨 볼 점은 국내 12개 GGP 전문 농장들의 순종돈 사육두수가 총 8천120두로 국내 전체에서 차지하는 비중이 49.5,0,9
437,천344두로 전체 비중의 55.8,0,9
438,전문화 추세와 맞물려 매년 증가할 것으로 예측되고 ,0,9
439,2월까지 종돈 수입 ‘제로’올해 2월말까지 종돈수입두수가 ‘제로,0,9
440,종돈 수입 급증세가 주춤했다,0,9
441,이유로 한시적으로 수입이 주춤한 것으로 풀이했다,-1,9
442,금년 수입 두수는 작년(4천409두)보다는 줄어들 것으로 전망했다,-1,9
443,한편 최근 2년간 종돈수입이 급증한 배경에는 고돈가로 인한 종돈 수요증가,0,9
444,탕박 등급제 정산을 전면 실시할 것을 결의했다,0,9
445,양돈농가와 적극 협의해 추진키로 했다,0,9
446,단계 크게 성장하는데 ,1,9
447,조직력을 강화해 나가기로 했다,1,9
448,이를 위해 전국적인 지역별 조직화와 1사 1회원 가입운동을 전개하며,0,9
449,히 수렴키로 했다,0,9
450,정부와 적극 협의 추진키로 했다,1,9
451,정부가 종합 관리 대책을 내놨다,0,9
452,카자흐스탄 접경지역인 사육돼지(17년 7월6일)에서 발생했다,0,9
453,유입 가능성이 상존하고 ,-1,9
