week,sentence,sentiment
39,농림축산식품부는 최근 구제역백신 접종시 해당백신의 품목허가된 접종방법에 따르도록 ,neutral
39,사실상 내부,neutral
40,조항의 삭제도 요구하고 ,negative
40,이번 개,neutral
41,한돈 품질 ‘답보,negative
41,등급판정을 받은 돼지는 145만여마리로 일년전 153만여마리에 비해 5,neutral
42,연속 줄었다,positive
43,소비 늘었다,positive
43,지난해 돼지고기 수입량은 늘었지만 ,negative
43,감소했다,negative
44,평창 동계 올림픽 수요로 안정을 찾을 것으로 예측됐다,positive
44,육류유통수출협회는 지난 11일 육가공,neutral
45,새해 돼지 값이 약세서 ,negative
45,지난 10일까지 평균 도매시장 경락가격은 ㎏당 3천794원(제주제외)으로 12월 평균 4천203원 대비 %,neutral
46,유지하던 안정세를 위협받고 ,negative
46,국내 양돈농가 경영도 어려워질 수 있어 ,negative
47,새해 들어 미국산 냉장 돼지고기 등 수입 돈육 관세가 추가로 하향 조정된다,neutral
47,관세청 등에 따르면 FTA체결국가 수입돼지고기의 관세는,neutral
48,폭염 후유증 벗어나 ‘안정,positive
48,한돈협회가 운영 중인 한돈팜스,neutral
49,돼지가격의 등급정산제 도입은 부진을 면치 못하고 ,negative
49,박피에서 탕박으로 기준가격만 바꾼 채 지급,negative
50,자조금 사무국이 새해 대대적인 조직개편을 실시했다,neutral
50,협회는 최성현 상무가 업무를 총괄하며,neutral
51,사후검증 결과도 발표했다,neutral
51,이번 검증사업에 참여한 제품들은 대부분 합격점을 받았다,positive
52,적합한 고액분리기는 어떤 제품인지 객관적인 선택 기준이 제시됐다,neutral
52,국내 시판 중인 고액분리기 12종에 대한 현장검증 결과를 발표했다,neutral
52,국내 고액분리기 공급업체를 대상으로 검증사업 참가 신청을 받아왔다,neutral
52,서울 양재동 aT센터에서 개최된 이날 발표회에서는 한돈협회와 상지대학교가,neutral
53,민원 발생이 적은 것으로 확인됐다,positive
53,최근 3년간 관할 행정기관에 공식 접수,neutral
54,러시아 최대 양돈계열화업체의 비육농장에서도 아프리카 돈열(ASF)이 발생한 것으로 확인됐다,neutral
54,C연구소(대표,neutral
55,돼지가격의 등급정산제를 전면 도입한다,neutral
55,  향후 추이에 따라서는 전국에 등급정산제가 급속히 확산되는 계기로 작용할 전망이다,neutral
55,예산축협 대회의실에서 개최된 충남지역 양돈농가와 간담회<사진>를 통해 이같이 밝혔다,neutral
55,국내 돼지고기 품질향상을 기대할 수 있는  각 회사별 이해여부를 따지지,neutral
56,지역사회와 프로스포츠를 연결하는 가교 역할로 눈길을 끌고 ,positive
56,도드람양돈조합은 지난 20일 경기도 이천시 소재 도드람 테마파크에서 프로배구 올스타 선수,neutral
57,범양돈업계의 구제역 예방 캠페인이 전개된다,neutral
57,소독캠페인을 전개한다,neutral
57,제23회 동계올림픽 기간인 내달 9일부터 25일까지 17일간 전 국민과 세,neutral
58,일제조사에 착수했다,neutral
58,협회에 따르면 무허,neutral
59,양돈사료량이 사상 최고치를 기록했다,positive
59,최근 농림축산식품부에 따르면 12월 양돈사료량은 57만6천여,neutral
60,"홍보비 1위 올해 한돈 자조금 사업 예산이 343억4천만",neutral
61,올해 한돈 생산량만 100만톤을 돌파할 것으로 보인다,neutral
62,퇴행적 현상 용납 못해,negative
62,한돈협회는 최근 전국 육가공업체를,neutral
63,앞으로 돼지 증가할 일만 남았다,negative
63,전년 동기와의 차이는 더 벌렸다,neutral
63,통계청에 따르면 12월 기준 돼지두수는 1천51만4천마리로,neutral
64,돼지 이상육 발생을 증가시키는 법안을 고시하는 등 엇박자 행보를 보이고 ,negative
64,안전한 한돈 생산을 요구받고 ,negative
64,박피 도축 과정에서의 안전성 문제를 제기했다,negative
65,국내 양돈현장의 자돈사료 의존도가 더 높아진 것으로 나타났다,neutral
65,지난해 양돈용배합사료 생산량이 총 636만5천500톤에 달했다,neutral
65,출하구간을,neutral
66,양정윤 신임 제주도협의회장에게 인준서를 전달하고 ,neutral
66,대한한돈협회 제주,neutral
67,유선민원 대부분,neutral
67,악취관리지역 지정 추진에 양돈업계가 강력히 반발하고 ,negative
67,의견을 제출하고 신중한 판단을 촉구했다,negative
67,라고 강한 유감을 표출했다,negative
67,문제점을 조목조목 지적했다,negative
67,◆ ,neutral
68,서울 세종문화회관 예인홀에서 ‘한돈 설,neutral
69,한번 손을 맞잡았다,neutral
69,단체회의’에서 참석자들은 등급정,neutral
70,무더기 악취관리지역 지정계획이 잠정 유보됐다,neutral
70,결과 일단 한숨은 돌린 셈이다,negative
70,악취관리지역 지정의 재고를 호소했다,negative
70,제주양돈농가 대표단은 악취관리지역 지정이 해당농가의 생존권이 달려있는,neutral
71,현실적으로 어렵다,negative
71,양돈현장의 여론과 함께 예상되는 부작용을 설명하고 수정 보완이 필요하다는 입장을 전달했다,neutral
71,동물복지형 축산으로 전환을 도모한다는 계획,neutral
72,외부 기온변화가 실제 양돈현장에 미치는 영향이 제한적이라는 연구결과가 나왔다,neutral
72,사전 대응이 효과를 발휘하고 ,positive
72,박사학위 논문을 통해 이같이 밝혔다,neutral
72,이병석 부,neutral
73,검정소가 철거되기 시작했다,neutral
73,검정소 건물 철거 업체를 선정한데 이어 지난주 초부터 재활용 자재건물부터 철거에 돌입,neutral
74,축산물 공급체계를 갖추고 있음을 인증받았다,positive
74,오른쪽 여섯 번째 장기윤 한국식품안전관리인증원장,neutral
75,돼지고기 소비량이 지난해 또 사상 최고치를,positive
76,고돈가가 지속되면서 국내 돼지 사육두수가 크게 증가한 가운데 지역별로는 충남과 전남이 가장 많이 늘었다,neutral
76,최근 통계청에 따르면 지난해 12월 기준 돼지 사육두수는 1천51만,neutral
77,구제역 방역 활동 고삐 죈다,negative
77,"5월까지 특별방역기간 실시농림축산식품부는 최근 주변 국가의 구제역 발생과 과거",neutral
78,한돈 올해 내년 하락하다,negative
78,"20년부터 올라농경연 2018 양돈전망",neutral
78,올해와 내년까지 돼지고기 공급량 증가로 돼지 값 하락이 점쳐지고 ,negative
78,수입량 역시 크게 줄지 않을 것이란 분석이다,neutral
78,올해를 비롯해 중장기 양돈수급 전망을 발표했다,neutral
78,이 내용을 정리,neutral
78,질병 준 영향,neutral
78,각각 늘어,negative
78,돼지고기 가격이 높게 형성되면서 지속 증가해 지난해 9월 1천79만 마리로 역대 최대 사육두수를 갱신했다,positive
78,증가한 1천671만 마리였으며 한돈 생산량도 90만1천톤으로 16년 89만1천 톤보다 ,neutral
78,이처럼 한돈 생산량 증가에도 불구하고 수요 증가와 관세 인하로 지난해 돼지고기 수입량은 16년 31만9천톤보다 16,neutral
78,늘었다,neutral
78,양돈 선진국에 비해 상당히 낮은 수준이다,negative
78,또한 이유 후,neutral
79,몸살을 앓고 ,negative
79,현장 수의사들에 따르면 지난해 12월부터 남부지역을 중심으로 PE,neutral
80,올해부터 내년까지 돼지 가격이 하락할 것으로 전망됐다,negative
80,도축 마릿수 감소로 다시 상승세로 전환될 것으로 예측됐다,neutral
80,농촌경제연구원은 지난달 24일 서울 롯데호텔에서 2018년 양돈전망을 발표하고,neutral
81,두로 높인다,neutral
81,가량 향상시킨다는 목표를 세웠다,positive
81,최근 농림,neutral
82,수출 길 열려,neutral
82,농림축산식품부와 식품의약품안전처는 최근 필리핀 관계당국과 우리 가공 축산물,neutral
83,올해는 한돈 떨어져 7조원 ‘위태,negative
83,최근 농촌경제연구원의 농업 생산액 전망에,neutral
84,주춤하던 돼지가격이 상승세를 타고 ,neutral
84,전망이 설득력을 얻고 ,positive
84,지육kg당 4천원을 넘지 못했다,neutral
84,4천원대에 재진입한 이후 지난달 31일에,neutral
85,팀장몇 년전 일본에 갔을 때다,neutral
85,장소에서 일본의 양돈농가와 육가공업체 관계자를  인터뷰를 할 수 있는 기회가 주어졌다,neutral
85,자연히 일본의 사례에 대해 질문하게 됐다,neutral
85,준다는 그들의 돼지가격 정산방식이 신선하게 다가왔다,positive
85,이들이 밝히는 그 이유는 신선한 수준을 넘어 다소 충격적이었다,negative
85,그럴싸한 포장은 하지 않았다,negative
85,돌아온 대답,neutral
86,단속을 통해 투명한,neutral
87,올 겨울 각종 양돈장 사고가 이어지고 있어 각별한 주의가 요구되고 ,negative
87,재산 피해가 없도록  기해 줄 것을 당부,negative
88,기존의 돼지 체중계를 대체할 3D 체중계가 프랑스에서 개발되고 ,neutral
88,C연구소(대표 정영철)는 현지 언론을 인용,neutral
89,연결돼 있는 경우 축조신고가 가능할까,neutral
89,돈협회가 무허가축사 적법화시 위와같은 가설건축물에 대한 유권해석을 국토교통부에 공식 요청했다,neutral
89,국회 농림축산식품해양수산위원,neutral
90,사료가격을 인하했다,neutral
90,서경양돈농협은 지난 1일부터 오는 6월30일까지 kg당 20원을 할인한 금액으로 조합원에게 사료를 공급하고,positive
91,당초 수립한 예산규모를 초과 달성했다,positive
91,대의원 총회에 상정키로 했다,neutral
91,한돈자조금에 따르면 지난,neutral
92,목표 분명해야양돈장의 최종목표는 토지,neutral
92,출하는 농장의 최종적인 수익이 발생하는 단계다,positive
92,출하를 어떻게 해야 하는가에,neutral
93,산업 발전기금을 기탁해야 한다,neutral
93,이같은 임원선거규정 개정안을 원안,neutral
94,피내접종용 구제역 백신공급을 요구하는 양돈업계의 압박이 강도를 더해가고 ,negative
94,이상육 피해가 급증할 것으로 예상되는  대책을 강구하고 ,negative
94,피내접종 방법이 이상육을 줄일수 있는 대안임을 사실상 확인했다,neutral
95,이후 한돈에서 이상육 발생이 크게 증가할 것으로 우려되고 ,negative
95,고시를 개정하고,neutral
96,많은 돼지가 사육되는 것으로 조사됐다,neutral
97,전년비 17,positive
98,만두에 육박했다,neutral
98,도체등급판정실적이 지난,neutral
99,해 매출과 순익 모든면에서 사상 최대실적으로 기록했다,positive
99,창립 이래 처음으로 현금배당을 실시했다,neutral
99,서울 천호동 본점에서 정기총회를 갖고 2조7천170억원에 달하는 지난,neutral
100,새로운 기술개발도 활발히 이뤄지고 ,neutral
100,축산분야에서 새로운 냄새저감 기술개발에 많은 시간과 비용을 할애하고 ,neutral
100,이 기술들이 과연 무엇을 해결할 수 있을지에 대한 ,neutral
100,과연 무엇이 문제일까,neutral
100,민원인과 지자체 모두에게 긍정적 평가를 받은것도 이 부분에서 시작됐다,positive
100,길을 지나는 잠정적인 민원인에게도 냄새저감,negative
101,발생 줄다 다시 늘어,negative
101,최근 농림축산검역본부,neutral
102,연초부터 수입 돼지고기가 국내 시장에 대량으로 쏟아져 들어왔다,neutral
102,최근 식품의약품안전처에 따르면 1월 돼지고기 수입검사,neutral
103,돼지 값이 급락하면서 ,negative
103,최근,neutral
104,미허가 축사 폐쇄는 국민 기본권 침해,negative
105,양돈현장이 몸살을 앓고 ,negative
105,생산성 저하가 심각한 것으로 나타났다,negative
105,이하의 기온이 이달에도 반복되면서 양돈농가들이 농장관리에 큰 어려움을 겪고 ,negative
105,극성을 부리며 폐사가 급증,negative
106,모든 양돈장이 기준치를 초과한 것으로 나타났다,negative
106,냄새 저감사업 성과에도 불구하고 ,neutral
106,해당지역 양돈농가 가운데 필자가 제안한 프로그램을 열심히 따라준 분들에게는 깊은 아쉬움과 미안함이 아직까지 남아 있다,negative
106,확인하지 못했는지 후회스러울 뿐이다,negative
106,상호 토론 등을 강력히,neutral
107,민관이 손을 맞잡았다,positive
107,입장을 같이했다,neutral
107,임신모돈의 군사 사육은 단순히 스톨을 철거하고 풀어키우는 게 아니다,neutral
107,생각보다 훨씬 복잡하고 까다로운 문제,negative
107,초반부터 군사 사육을 연구해,neutral
108,모돈이 받는 스트레스는 차이가 없다는 지적이 나왔다,negative
108,동물복지를 도모하겠다는 정부 방침은 설득력이 떨어진다는 분석이다,negative
108,대한한돈협회의,neutral
109,범 양돈업계 차원에서 제주 양돈현장의 냄새저감 대책이 마련된다,neutral
109,예정됐던 제주특별자치도의 양돈장 악취관리지역 지정 잠정유보 방침 이후 후속대책을 논의했다,neutral
109,지난달 25일 제주양돈농가 대표단과 간담회 과정에서,neutral
110,양돈현장의 우려도 극에 달하고 ,negative
110,대안’의 한가지로 부상하고 ,neutral
110,이상육 문제가 불거지기 시작하면서 ,negative
111,심지어 양돈농가들까지 당연하게 받아들여온 동물복지 관련 내용들이 사실과는 차이가 있음을  알려주는 것이어서 관심을 끌고 ,neutral
111,스톨의 역사부터 되돌아 봤다,neutral
111,전후로 사육효율성을 높이기 위해 실내사육으로 전환이 본격화됐,neutral
112,돼지 출하선으로서 그 비중이 확대되고 있는 배합사료 업계도 돼지가격의 등급정산제 정착에  동참을 약속했다,positive
112,등급정산제 정착을 위한 간담회에서다,neutral
112,이날 회의에 참석한 사료업체들은 정부를 포함해 범양돈,neutral
113,매출액이 변동 된다,neutral
113,개선할 부분이 무엇인지 정확하게 알,neutral
114,근접하는 수준까지 끌어올린다는 목표가 설정됐다,neutral
114,식품산업 발전계획을 통해 돼지고기의 자급률을 ,neutral
114,국내 돼지고기,neutral
115,값 강세에 취했나,negative
115,한돈 강세에도 한국 양돈장 생산 성적은 오히려 퇴보했다,negative
115,향후 돈가 하락 시 농가들의 경영 압박이 우려되고 ,negative
115,기록하며 4년 연속 4천500,neutral
116,한돈 1등급이상 출현율 ‘제자리,positive
116,돼지 등급판정 성적이 전달보다 떨어졌다,negative
116,전년,neutral
117,종돈장이 다시 늘고 ,neutral
117,대상으로 종돈장 실태조사를 실시했다,neutral
117,그 결과 종축업 허가를 받은 종돈장수는 GGP 22개소,neutral
118,예상치 못한 갈등요인들도 속출하고 ,negative
118,지육률을 둘러싼 논란이 불거지가 있다,negative
118,양돈농가들의 불신이 표출되고 ,negative
118,정도 하락했다,negative
119,라고 지적했다,negative
119,키운다는 시각의 접근은 낭패를 불러 올 수밖에 없다는 것이다,negative
119,중요한 핵심요인이다,neutral
119,자리 등을 놓고도 발생하는 것으로 알려졌다,neutral
119,그 예방을 위해선 우선 돼지의 행동을 감안한 공간구성이 필요하다,neutral
119,마련돼야 한다고 ,neutral
119,여기에 돼지 전출입,neutral
120,지난해 미국의 돼지고기 생산량이 사상 최대치를 경신했다,positive
120,지난 한해 미국의 돼지고기 생산량이 1천163만톤에 달했,neutral
121,이달 평균 돼지가격이 탕박기준 지육kg당 4천400~4천700원이 될 것이란 전망이 나왔다,neutral
121,돼지관측을 통해 이같이 내다봤다,neutral
121,농경연에 따르면 돼지 사육마릿수 증가로 이달의 등급판정 마릿수는 전년동,neutral
122,풍성한 혜택이 소비자들에게 제공될 전망이다,positive
122,자조금)는 2~3일 양일간 현장 할인 판매와 함께 다양한 시식을 함께 할 수 있는 소비자 참여 행사를 개최한다,neutral
122,파격 할인 판매된다,positive
122,추가 증정하는 특별 이,neutral
123,대전충남지역 양돈농가와 육가공업계가 돼지값의 등급정산제 도입시 도축비 부담 주체를 놓고 이견을 보이고 ,neutral
123,돈협회 충남도협의회 임원진을 중심으로 한 충남지역 양돈농가 대표단과 한국육류유통수출협회 대전충청지회는 지난달 22일 대전충정지,neutral
124,국내 종돈장수가 늘어나면서 ,neutral
124,모돈 사육두수는 7만2천527두인 것으로 집계됐다,neutral
124,7개소 불과,neutral
124,작년보다 6개↓GP 전문농장 52개소 ‘최다,positive
124,3천두전남지역 사육수 가장 많아,neutral
124,◆ 종돈장 숫자지난해 보다 7개,neutral
124,국공립 연구기관을 포함해 GGP가 2,neutral
125,기록 분석을 통한 경영실적 개선 및 목표설정,neutral
125,성적이 비슷한 수치로 나타난다면 가장 큰 요인으로는 외부요인이 될 수 있다,neutral
125,변화에 크게 동요되지 않으려면 기본적인 성적이 바탕이,neutral
126,↑,neutral
126,국내 종돈 생산 기반이 확대되고 ,neutral
126,종돈장을 대상으로 실시한 실태조사에 따르면 현재 국내 종돈장의 총,neutral
127,한번 입증됐다,positive
127,출하물량 증가에도 지난해 말 기준 한돈 재고가 감소한 것으로 조사됐다,negative
127,최근 육류유통수출협회에 따르면,neutral
128,양돈장 계속 할지 팔지,neutral
128,양돈 가치 높아지며 업체 ‘호시탐탐,negative
128,거액의 매매금을 제시 했기 때문이다,neutral
128,후계자도 있어 농장을 매매할 생각은 추호도 없었다,positive
128,마음이 흔들리고 ,negative
128,양돈업 미래도 불투명하기 때문이다,negative
128,농장을 지속 운영할지,neutral
129,정부가 종합 관리 대책을 내놨다,neutral
129,ASF는 2007년 이후 동유,neutral
130,"2월까지 종돈 수입 ‘제로’올해 2월말까지 종돈수입두수가 ‘제로",neutral
130,최근 종축개량협회에 따르면 1~2월 종돈수입두수는 0마리,neutral
131,탕박 등급제 정산을 전면 실시할 것을 결의했다,neutral
131,금년도 1분기 내에 등급별,neutral
132,이상으로 끌어올릴 수 있다는 주장이다,neutral
132,‘다산,neutral
133,"1월 양돈사료 역대 1월중 최고58만톤 전년비 ",neutral
133,최근 농림축산식품부에 따르면 1월 양돈사료량은 57만8천800여,neutral
134,한돈자조금관리위원회는 대한민국 대표 미남 배우 장동건씨를 ,neutral
135,민원에 이르기까지 급변하는 대내외적 환경에 더 많이 노출되고 ,negative
135,판단이나 대처가 쉽지 않은게 현실이다,negative
135,대한한돈협회는,neutral
136,com)에서 3월3일 삼겹살데이 이벤트를 전개,neutral
137,협회 대의원총회 참석자들이 괴산지부 홍용표 지부장의 선창으로 등급정산제 동참을 결의하고 ,neutral
137,전국의 양돈지도자들이 등급정산제 전면시행을 결의했다,neutral
137,대전 유성 계룡스파텔에서 개최된 대한한돈협회(회장 하태식) 제41차 대의원 정기총회에서다,neutral
137,이날 총회에서 참석자들은 돼지값 정산방,negative
138,무더기 악취관리지역 지정이 또다시 보류됐다,neutral
138,달말 예정했던 악취관리지역 지정을 연기한다고 ,neutral
138,첫 악취관리지역 지정 예고일이었던 지난 1월29일에 이어 두 번째다,neutral
138,그 이유를 설명하고 있,neutral
139,국내에서도 유전체 선발기술이 상용화 됐다,neutral
139,종돈개량 성과를 극대화하는 데 성공했다,positive
139,정확한 육종가를 조기에 제시한 결과 개량량 증가로 이어졌다는 것이다,neutral
139,추정된 육종가를 바탕으로 다음 세대에 사용할 후보돈을 선발하는 기존의 방법은 개량 효율성이,neutral
140,자구대책안 제출기한을 늦춰줄 것을 제주도에 요청했다,negative
140,성사된 원희룡 제주도지사와 면담에서다,neutral
140,양정윤(대한,neutral
141,면역수준이 다르며,neutral
141,질병 안정화를 시켜야 한다,neutral
141,후보돈 관리 프로그램의 첫 번째 과정은 격리다,negative
141,돼지의 사육밀도가 높은 국내에서는 엄격한 의미에서 격리라기보,neutral
142,농협경제지주 서울지역본부에서 소비자 참여행사를 개최했다,neutral
143,작년과 가격 차 농경연 관측 보다 커강추위 등 악재,negative
143,올 들어 돼지가격이 당초 전망치를 밑돌고 ,negative
143,소비가 뒷받침되지 않고 있음을 의미하는 것이어서 양돈업계의 고민도 깊어,negative
143,2월에는 4천219원에 머물렀다,neutral
143,2월 가격이 지육 kg당 4천200,neutral
144,▲ 행사장에서 한돈을 구입하기 위해 기다림도 마다하지 않는 소비자들,neutral
144,온오프라인서 파격할인,positive
144,이정배 조합장과 파이팅,positive
145,"긴장돼알젠틴 생산 저조와 환율 불안",negative
145,오르고 2,neutral
146,출하 작년보다 많았다,neutral
146,하락,negative
146,축산물품질평가원에 따르면 2월 돼,neutral
147,대해,neutral
148,화농 탓,neutral
148,목살 가격이 하락 일로에 처했다,negative
148,㎏당)은 1만2천원으로 지난해 동월(1만3천250원) 대비 10% 이상,neutral
149,가격 하락 전망에도 농가들의 모돈 사육 의향은 높은 것으로 나타났다,positive
149,농촌경제연구원,neutral
150,PED 강타,negative
150,돼지 질병의 창궐이 경고되고 ,negative
150,여름 출하가 예상만큼 늘지 않을 수 있다는 전망이 나올 정도다,neutral
150,이 같은 우려가 나오고 ,negative
150,-2℃로 평년 대비 ,negative
151,향후 돼지 값은 출하두수가 증가하면서 전년 대비 약세가 지속될 것으로 전망됐다,negative
151,양돈관측을 통해 3월 돼지 값이 4천400,neutral
152,양돈현장의 관심과 수요가 종돈개량의 성과로 이어지고 ,positive
152,두의 생존 산자수를 분석했다,neutral
152,그 결과,neutral
153,지난달 돼지도축두수가 감소했다,negative
153,도체등급판정실적은 지난 2월 암퇘지 67만9천173두,neutral
154,민관합동의 현장조사가 착수됐다,neutral
154,우리 실정에 적합한 동물복지형 양돈기준 마련을 위한 것이다,positive
154,이번주부터 군사시스템이 도입된 국내 10개 양돈장을,neutral
155,중국의 돼지사육두수 감소가 지속될 것으로 전망되고 ,negative
155,C연구소(대표 정영철)에 따르,neutral
156,과징금으로 대체가 가능한지요,neutral
156,가능하다,neutral
156,가축별 부과계수로 과징금이 산정된다,neutral
157,양돈현장에서 구제역 백신의 피내접종 농가들이 급속히 확산되고 ,neutral
157,근육접종 수준의 방어효과를 얻을수 있다는 기대감에 따른 것이다,positive
157,무엇보다 이상육 발생이 거의 없는 것으로 나와  있다,neutral
157,값비싼 무침주사기 구입비용만 감수할,negative
158,삼삼데이 실종,negative
158,돼지 값 흐름이 심상치 않다,negative
158,향후 양돈시장 침체의 전조가 아닌지 우려되고 ,negative
158,이맘때 양돈시장은 삼삼데이 수요로부터 힘을 받아 상승한 후 그 여세가 본격적인 고돈가 시기까지 이어져 왔다,neutral
